ID,category,BRAND,MODLE,RAM,STORAGE,CAMERA,BATTERY,PROCESSOR,DISPLAY,OS,WEIGHT,CHARGING_SPEED,CONNECTIVITY,PRICE,IMAGE_LINK,AFFILIATE_LINK
P101,phone,Apple,iPhone 17 Pro,12 GB,256 GB,48 MP Main + 48 MP Ultra-Wide + 48 MP Telephoto,4600 mAh,Apple A19 Pro,"6.3 inch Super Retina XDR OLED, 120Hz LTPO",iOS 19,199g,"45W Fast Charging, MagSafe Wireless","5G, Wi-Fi 7, Bluetooth 5.4, UWB","1,29,900",https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=500&auto=format&fit=crop,
P102,phone,Samsung,Galaxy S26 Ultra,16 GB,512 GB,200 MP Main + 50 MP Periscope + 12 MP Ultra-Wide,5000 mAh,Snapdragon 8 Gen 5,"6.8 inch Dynamic AMOLED 2X, QHD+, 144Hz","Android 16, One UI 8",232g,"65W Fast Wired, 15W Wireless","5G, Wi-Fi 7, Bluetooth 5.5, UWB, S-Pen Support","?1,34,999",https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=500&auto=format&fit=crop,
P103,phone,OnePlus,OnePlus 14 Pro,16 GB,256 GB,50 MP Sony LYT-900 + 50 MP Ultra-Wide + 64 MP Periscope,5400 mAh,Snapdragon 8 Gen 5,"6.78 inch BOE X2 OLED, 2K, 120Hz","Android 16, OxygenOS 16",220g,"100W SuperVOOC Wired, 50W AirVOOC Wireless","5G, Wi-Fi 7, Bluetooth 5.4","?69,999",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500&auto=format&fit=crop,
P104,phone,Google,Pixel 10 Pro,16 GB,256 GB,50 MP Main + 48 MP Ultra-Wide + 48 MP 5x Telephoto,5050 mAh,Google Tensor G5,"6.7 inch LTPO OLED, 120Hz, 3000 nits peak",Android 16 (Pure Pixel UI),213g,"37W Wired, 23W Wireless","5G, Wi-Fi 7, Satellite Connectivity, UWB","?1,09,999",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500&auto=format&fit=crop,
T201,tablet,Apple,iPad Pro M4 (13-inch),16 GB,1 TB,12 MP Wide Rear + 12 MP Ultra Wide Front with Center Stage,10290 mAh,Apple M4 (9-core CPU / 10-core GPU),"13.0 inch Tandem OLED Ultra Retina XDR, 120Hz",iPadOS 19,579g,35W Wired Charging,"Wi-Fi 7, Bluetooth 5.4, Optional 5G eSIM, Thunderbolt 4","?1,49,900",https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500&auto=format&fit=crop,
T202,tablet,Samsung,Galaxy Tab S10 Ultra,12 GB,256 GB,13 MP + 8 MP Rear / 12 MP + 12 MP Front,11200 mAh,MediaTek Dimensity 9300+,"14.6 inch Dynamic AMOLED 2X, 120Hz, Anti-Reflective","Android 16, One UI 8",718g,45W Super Fast Charging 2.0,"5G, Wi-Fi 7, Bluetooth 5.4, S-Pen Included (In-box)","?1,08,999",https://images.unsplash.com/photo-1589739900243-4b52cd9b104e?w=500&auto=format&fit=crop,
T203,tablet,Xiaomi,Pad 7 Pro,8 GB,256 GB,50 MP Rear / 32 MP Front,8800 mAh,Snapdragon 8 Gen 3,"12.4 inch LCD, 3K Resolution, 144Hz Refresh Rate","Android 16, Xiaomi HyperOS 2",590g,67W HyperCharge Wired,"Wi-Fi 6E, Bluetooth 5.3, USB Type-C 3.2","?34,999",https://images.unsplash.com/photo-1561154464-82e9adf32764?w=500&auto=format&fit=crop,
L301,laptop,Apple,MacBook Pro 14 (M5),24 GB,512 GB SSD,12MP Center Stage Camera with Desk View,72.4 Watt-hour (Up to 22 Hours Battery Life),Apple M5 (10-core CPU / 10-core GPU),"14.2 inch Liquid Retina XDR, 120Hz ProMotion, 1600 nits",macOS Sequoia,1.61 kg,70W / 96W USB-C Power Adapter,"Wi-Fi 7, Bluetooth 5.4, 3x Thunderbolt 5, HDMI, SDXC","?1,69,900",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500&auto=format&fit=crop,
L302,laptop,HP,OmniBook X AI,32 GB LPDDR5X,1 TB NVMe SSD,5MP IR Camera with AI Privacy features,59 Watt-hour (Up to 26 Hours AI Workload Life),"Snapdragon X Elite (12 Cores, Dual Core Boost)","14.0 inch IPS Touchscreen, 2.2K, 300 nits",Windows 11 Home (Copilot+ AI PC),1.34 kg,65W USB-C Fast Charger,"Wi-Fi 7, Bluetooth 5.4, USB4 Type-C, USB-A","?1,14,999",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500&auto=format&fit=crop,
L303,laptop,ASUS,ROG Zephyrus G14 (2026),32 GB LPDDR5X,1 TB PCIe 4.0 SSD,1080P FHD IR Camera with Windows Hello,73 Watt-hour Lithium-Polymer,AMD Ryzen 9 9940HS + NVIDIA RTX 5060 GPU,"14.0 inch ROG Nebula OLED, 3K, 120Hz, 0.2ms",Windows 11 Home,1.50 kg,200W Rogue Adapter / 100W USB-C PD Charging,"Wi-Fi 7, Bluetooth 5.4, 1x USB4, Type-A, HDMI 2.1","?1,44,999",https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500&auto=format&fit=crop,
